sn,fault_time,fault_code
SERVER_25731,2020-09-23 11:07:53,cpu1.m2m1.cod2.0x1
SERVER_2102,2020-09-20 21:01:53,cpu0.cha0.cod2.0xc
SERVER_2249,2020-10-22 18:22:53,cpu0.cha22.cod2.0xc
SERVER_2253,2020-09-24 15:54:54,cpu0.m2m1.cod2.0x1
SERVER_2253,2020-09-24 20:53:54,cpu0.m2m1.cod2.0x1
SERVER_2621,2020-09-24 22:31:53,cpu0.cha16.cod2.0xc
SERVER_2764,2020-10-12 03:47:53,cpu1.m2m0.cod2.0x1
SERVER_2764,2020-10-28 23:16:54,cpu1.m2m0.cod2.0x1
SERVER_3143,2020-08-28 06:13:53,cpu0.m2m1.cod2.0x1
SERVER_3350,2020-10-08 13:49:53,cpu0.m2m1.cod2.0x1
SERVER_3352,2020-09-06 00:47:54,cpu0.m2m1.cod2.0x1
SERVER_3434,2020-11-13 21:35:54,cpu0.mergedcha0.cod2.0xc
SERVER_3668,2020-11-11 13:35:53,cpu1.m2m0.cod2.0x1
SERVER_3939,2020-11-13 05:57:54,cpu0.pcu.cod2.0x5c
SERVER_4046,2020-09-22 11:42:54,cpu1.m2m1.cod2.0x1
SERVER_4317,2020-08-29 14:31:53,cpu0.cha4.cod2.0xc
SERVER_4360,2020-11-07 14:46:54,cpu0.cha8.cod2.0xc
SERVER_25785,2020-10-07 10:24:54,cpu0.cha23.cod2.0x13
SERVER_25787,2020-11-25 14:55:58,cpu0.cha8.cod2.0xc
SERVER_4416,2020-11-24 15:54:01,cpu0.m2m0.cod2.0x1
SERVER_4754,2020-09-01 18:47:54,cpu0.cha21.cod2.0xc
SERVER_5054,2020-11-10 09:59:54,cpu1.cha25.cod2.0xf
SERVER_5105,2020-10-16 15:20:54,cpu1.cha21.cod2.0xc
SERVER_5147,2020-09-02 07:29:53,cpu1.cha21.cod2.0xc
SERVER_5151,2020-11-19 18:13:58,cpu1.cha12.cod2.0xc
SERVER_25839,2020-10-22 14:26:53,cpu1.cha0.cod2.0xc
SERVER_5223,2020-09-25 13:47:54,cpu0.cha3.cod2.0xc
SERVER_5224,2020-10-06 15:19:54,cpu0.cha3.cod2.0xc
SERVER_5365,2020-10-09 16:48:54,cpu1.cha0.cod2.0xc
SERVER_5633,2020-10-19 21:13:53,cpu0.cha12.cod2.0xc
SERVER_25997,2020-10-20 10:54:53,cpu1.cha10.cod2.0xc
SERVER_26017,2020-11-10 09:24:53,cpu0.cha10.cod2.0xc
SERVER_7134,2020-11-14 15:16:54,cpu0.m2m1.cod2.0x1
SERVER_7141,2020-09-13 08:20:53,cpu1.cha1.cod2.0xc
SERVER_7141,2020-09-25 12:50:53,cpu0.cha9.cod2.0xc
SERVER_7259,2020-10-03 18:37:54,cpu0.cha20.cod2.0xc
SERVER_26175,2020-11-20 13:42:03,cpu1.cha29.cod2.0xc
