sn,fault_time,label
SERVER_25698,2020-10-09 13:43:00,0
SERVER_25699,2020-08-25 18:50:00,0
SERVER_25712,2020-03-16 13:20:00,0
SERVER_25708,2020-07-25 12:44:00,0
SERVER_25711,2020-03-16 16:51:00,0
SERVER_25709,2020-08-17 19:50:00,0
SERVER_15,2020-09-11 09:39:00,0
SERVER_25707,2020-03-16 14:00:00,0
SERVER_443,2020-09-11 05:50:00,0
SERVER_422,2020-11-04 15:11:00,0
SERVER_25736,2020-04-23 16:18:00,0
SERVER_1596,2020-04-15 22:47:00,0
SERVER_25721,2020-05-28 13:38:00,0
SERVER_1730,2020-02-18 14:18:00,0
SERVER_15952,2020-07-26 15:40:00,0
SERVER_2887,2020-03-11 14:22:00,0
SERVER_1784,2020-11-02 21:31:00,0
SERVER_2904,2020-09-23 17:46:00,0
SERVER_26690,2020-05-28 23:31:00,0
SERVER_25766,2020-05-08 06:11:00,0
SERVER_1876,2020-02-05 20:49:00,0
SERVER_2492,2020-11-14 01:25:00,0
SERVER_14900,2020-09-24 19:45:00,0
SERVER_1746,2020-02-01 16:48:00,0
SERVER_25733,2020-05-22 17:13:00,0
SERVER_14954,2020-09-20 20:25:00,0
SERVER_26703,2020-09-13 13:20:00,0
SERVER_26724,2020-10-20 03:24:00,0
SERVER_15100,2020-09-02 19:42:00,0
SERVER_3651,2020-01-19 21:47:00,0
SERVER_14603,2020-01-29 07:42:00,0
SERVER_25734,2020-10-03 11:57:00,0
SERVER_14334,2020-06-16 13:38:00,0
SERVER_17432,2020-08-17 12:18:00,0
SERVER_25745,2020-05-24 03:57:00,0
SERVER_2467,2020-05-01 06:11:00,0
SERVER_1767,2020-01-30 18:18:00,0
SERVER_15929,2020-05-23 17:52:00,0
SERVER_1830,2020-04-14 01:45:00,0
SERVER_26714,2020-05-10 13:19:00,0
SERVER_14380,2020-01-21 18:49:00,0
SERVER_15418,2020-03-05 15:38:00,0
SERVER_26706,2020-08-28 09:52:00,0
SERVER_26694,2020-10-18 13:17:00,0
SERVER_26039,2020-08-13 03:29:00,0
SERVER_26693,2020-11-03 22:11:00,0
SERVER_25812,2020-01-31 15:39:00,0
SERVER_25732,2020-05-15 18:24:00,0
SERVER_15291,2020-11-12 18:19:00,0
SERVER_2616,2020-08-14 15:55:00,0
SERVER_25733,2020-06-02 18:50:00,0
SERVER_1784,2020-11-05 16:59:00,0
SERVER_2285,2020-03-24 15:41:00,0
SERVER_26705,2020-01-15 19:57:00,0
SERVER_26723,2020-06-11 20:53:00,0
SERVER_25760,2020-06-29 09:08:00,0
SERVER_14530,2020-05-30 14:44:00,0
SERVER_25824,2020-05-11 18:23:00,0
SERVER_25728,2020-04-17 11:43:00,0
SERVER_26696,2020-04-01 05:10:00,0
SERVER_25796,2020-06-12 08:57:00,0
SERVER_3477,2020-06-03 19:06:00,0
SERVER_25731,2020-09-23 12:05:00,0
SERVER_26699,2020-10-07 12:33:00,0
SERVER_26695,2020-09-27 13:54:00,0
SERVER_26727,2020-05-06 13:22:00,0
SERVER_14578,2020-07-07 22:41:00,0
SERVER_2574,2020-08-08 01:12:00,0
SERVER_14405,2020-10-03 01:52:00,0
SERVER_2286,2020-05-07 15:32:00,0
SERVER_14979,2020-04-03 07:12:00,0
SERVER_26745,2020-05-23 16:47:00,0
SERVER_26717,2020-09-03 15:49:00,0
SERVER_2159,2020-03-29 09:03:00,0
SERVER_26818,2020-09-23 11:51:00,0
SERVER_16919,2020-07-15 15:41:00,0
SERVER_26030,2020-05-16 17:44:00,0
SERVER_26715,2020-07-04 04:38:00,0
SERVER_26846,2020-09-09 15:23:00,0
SERVER_26726,2020-02-05 10:11:00,0
SERVER_26778,2020-01-21 03:14:00,0
SERVER_7154,2020-06-01 18:44:00,0
SERVER_6967,2020-07-26 07:56:00,0
SERVER_26744,2020-05-30 02:17:00,0
SERVER_25762,2020-02-20 11:58:00,0
SERVER_15062,2020-03-17 05:12:00,0
SERVER_26805,2020-02-21 15:16:00,0
SERVER_26689,2020-06-19 18:24:00,0
SERVER_26710,2020-06-19 18:10:00,0
SERVER_17377,2020-11-14 08:09:00,0
SERVER_15758,2020-05-14 10:15:00,0
SERVER_5815,2020-04-27 12:00:00,0
SERVER_25751,2020-05-21 18:22:00,0
SERVER_5316,2020-06-03 02:32:00,0
SERVER_25752,2020-05-16 14:19:00,0
SERVER_26735,2020-11-02 01:16:00,0
SERVER_2866,2020-09-18 18:16:00,0
SERVER_7460,2020-01-09 12:39:00,0
SERVER_25787,2020-11-25 15:10:00,0
SERVER_25834,2020-06-04 02:13:00,0
SERVER_26820,2020-02-04 22:57:00,0
SERVER_26823,2020-01-16 01:27:00,0
SERVER_25998,2019-12-29 15:56:00,0
SERVER_25861,2020-08-15 18:13:00,0
SERVER_2874,2020-01-31 10:40:00,0
SERVER_3677,2020-01-13 08:16:00,0
SERVER_25743,2020-01-23 22:42:00,0
SERVER_25799,2020-06-16 15:31:00,0
SERVER_25784,2020-07-29 12:31:00,0
SERVER_25988,2020-02-16 19:35:00,0
SERVER_4499,2020-03-12 15:40:00,0
SERVER_25990,2020-02-13 18:58:00,0
SERVER_25793,2020-04-21 20:41:00,0
SERVER_4501,2020-03-21 18:41:00,0
SERVER_25991,2020-07-24 08:00:00,0
SERVER_25992,2020-08-09 22:24:00,0
SERVER_26842,2020-06-26 06:08:00,0
SERVER_25987,2020-08-16 23:06:00,0
SERVER_17427,2020-07-24 19:00:00,0
SERVER_26842,2020-06-21 21:03:00,0
SERVER_26842,2020-10-02 16:42:00,0
SERVER_23025,2020-08-27 08:40:00,0
SERVER_23002,2020-09-17 12:36:00,0
SERVER_6046,2020-03-18 19:28:00,0
SERVER_26205,2020-10-06 14:07:00,0
SERVER_17209,2020-07-29 15:39:00,0
SERVER_26833,2020-07-07 10:58:00,0
SERVER_16052,2020-02-12 12:29:00,0
SERVER_5119,2020-03-02 12:30:00,0
SERVER_25821,2020-03-11 01:45:00,0
SERVER_16700,2020-07-16 14:25:00,0
SERVER_17470,2020-11-11 13:06:00,0
SERVER_4902,2020-01-03 03:37:00,0
SERVER_25841,2020-05-21 17:23:00,0
SERVER_6302,2020-11-24 13:34:00,0
SERVER_26090,2020-08-08 22:11:00,0
SERVER_6453,2020-10-15 07:04:00,0
SERVER_5853,2020-07-12 15:19:00,0
SERVER_7151,2020-05-20 18:24:00,0
SERVER_16476,2020-07-20 18:44:00,0
SERVER_23107,2020-09-10 14:13:00,0
SERVER_25822,2020-04-14 22:46:00,0
SERVER_16624,2020-04-18 11:52:00,0
SERVER_4801,2020-04-14 15:10:00,0
SERVER_16804,2020-05-16 11:08:00,0
SERVER_4758,2020-04-25 15:50:00,0
SERVER_4556,2020-09-10 08:10:00,0
SERVER_5934,2020-04-15 08:51:00,0
SERVER_16947,2020-10-06 17:01:00,0
SERVER_25747,2020-01-24 16:33:00,0
SERVER_26086,2020-07-07 04:08:00,0
SERVER_25851,2020-03-13 12:01:00,0
SERVER_25997,2020-10-20 11:02:00,0
SERVER_26014,2020-03-09 22:16:00,0
SERVER_17318,2020-06-12 15:41:00,0
SERVER_26849,2020-07-23 15:57:00,0
SERVER_3653,2020-09-11 10:23:00,0
SERVER_17187,2020-11-08 05:10:00,0
SERVER_4882,2020-04-14 18:34:00,0
SERVER_3312,2020-11-17 13:21:00,0
SERVER_26765,2020-04-25 12:44:00,0
SERVER_26812,2020-04-10 17:51:00,0
SERVER_5054,2020-10-14 15:11:00,0
SERVER_25815,2020-02-25 16:19:00,0
SERVER_7166,2020-07-01 17:37:00,0
SERVER_5907,2020-10-13 23:16:00,0
SERVER_25860,2020-11-06 14:52:00,0
SERVER_26848,2020-07-26 16:21:00,0
SERVER_16328,2020-06-25 17:45:00,0
SERVER_25958,2020-04-23 12:57:00,0
SERVER_26015,2020-05-13 19:43:00,0
SERVER_26018,2020-11-15 03:47:00,0
SERVER_26006,2020-01-11 15:54:00,0
SERVER_5249,2020-10-15 05:13:00,0
SERVER_5872,2020-08-25 15:41:00,0
SERVER_25789,2020-10-16 10:24:00,0
SERVER_26814,2020-03-22 08:49:00,0
SERVER_26854,2020-08-19 14:28:00,0
SERVER_26730,2020-11-06 12:18:00,0
SERVER_16591,2020-08-10 20:18:00,0
SERVER_26768,2020-09-22 22:46:00,0
SERVER_26747,2020-03-03 20:53:00,0
SERVER_25939,2020-02-09 14:03:00,0
SERVER_25862,2020-01-31 12:25:00,0
SERVER_25938,2020-08-18 15:07:00,0
SERVER_26760,2020-09-21 22:25:00,0
SERVER_25940,2020-08-27 13:09:00,0
SERVER_5305,2020-04-24 02:59:00,0
SERVER_5911,2020-10-28 07:10:00,0
SERVER_26808,2020-04-30 21:48:00,0
SERVER_25985,2020-09-19 16:13:00,0
SERVER_7434,2020-06-16 07:19:00,0
SERVER_25814,2020-06-04 11:33:00,0
SERVER_25832,2020-01-16 19:37:00,0
SERVER_16622,2020-06-12 03:42:00,0
