sn,fault_time,label
SERVER_14,2020-09-20 09:58:00,0
SERVER_475,2020-08-01 10:55:00,3
SERVER_41,2020-01-15 04:28:00,2
SERVER_25703,2020-10-20 11:31:00,0
SERVER_35,2020-08-20 08:59:00,2
SERVER_24,2020-08-20 08:37:00,2
SERVER_14,2020-11-22 01:21:00,2
SERVER_28,2020-10-26 19:16:00,2
SERVER_44,2020-07-28 11:17:00,2
SERVER_475,2020-08-01 10:50:00,3
SERVER_11,2020-07-08 12:10:00,3
SERVER_25705,2020-08-29 19:38:00,0
SERVER_322,2020-01-24 09:19:00,3
SERVER_346,2020-09-23 17:40:00,3
SERVER_577,2020-10-21 03:56:00,3
SERVER_194,2020-04-25 13:37:00,2
SERVER_828,2020-07-31 03:07:00,3
SERVER_122,2020-08-04 10:47:00,2
SERVER_792,2020-07-31 20:20:00,3
SERVER_830,2020-08-01 15:01:00,2
SERVER_630,2020-11-15 04:31:00,3
SERVER_228,2020-06-01 10:42:00,2
SERVER_102,2020-03-10 02:27:00,1
SERVER_187,2020-02-20 08:17:00,2
SERVER_837,2020-10-06 14:42:00,2
SERVER_293,2020-02-04 12:53:00,3
SERVER_186,2020-01-27 02:02:00,3
SERVER_209,2020-01-06 07:19:00,2
SERVER_275,2020-04-07 15:39:00,2
SERVER_354,2020-04-06 14:54:00,1
SERVER_184,2020-07-22 11:03:00,3
SERVER_492,2020-04-19 00:05:00,2
SERVER_809,2020-10-26 04:46:00,2
SERVER_848,2020-01-28 17:49:00,2
SERVER_303,2020-04-13 16:20:00,2
SERVER_780,2020-04-29 18:05:00,2
SERVER_327,2020-04-20 21:46:00,3
SERVER_363,2020-06-11 02:30:00,2
SERVER_787,2020-03-13 05:17:00,2
SERVER_385,2020-01-31 18:12:00,3
SERVER_853,2020-07-12 22:27:00,2
SERVER_381,2020-06-17 14:11:00,3
SERVER_779,2020-03-30 10:57:00,3
SERVER_749,2020-07-19 07:43:00,2
SERVER_579,2020-10-17 19:12:00,2
SERVER_239,2020-06-28 14:12:00,2
SERVER_232,2020-05-14 12:40:00,2
SERVER_345,2020-03-28 00:32:00,1
SERVER_378,2020-03-25 18:51:00,3
SERVER_392,2020-05-25 22:20:00,3
SERVER_102,2020-03-06 02:22:00,1
SERVER_230,2020-06-16 18:22:00,3
SERVER_163,2020-03-05 02:00:00,2
SERVER_360,2020-04-09 13:14:00,3
SERVER_672,2020-04-23 23:02:00,2
SERVER_254,2020-05-09 03:22:00,3
SERVER_589,2020-03-23 11:28:00,2
SERVER_259,2020-03-02 17:36:00,3
SERVER_675,2020-09-06 08:26:00,3
SERVER_297,2020-05-29 17:23:00,3
SERVER_483,2020-06-06 13:32:00,3
SERVER_149,2020-04-05 15:31:00,2
SERVER_697,2020-05-01 06:05:00,2
SERVER_287,2020-01-29 05:52:00,2
SERVER_365,2020-01-16 05:37:00,2
SERVER_649,2020-03-14 04:36:00,1
SERVER_309,2020-03-20 17:16:00,2
SERVER_648,2020-05-24 09:12:00,2
SERVER_393,2020-07-20 15:33:00,2
SERVER_319,2020-03-15 00:13:00,2
SERVER_64,2020-04-21 12:38:00,2
SERVER_375,2020-03-29 21:07:00,2
SERVER_525,2020-01-23 16:54:00,3
SERVER_502,2020-10-30 23:11:00,2
SERVER_664,2020-11-07 23:57:00,2
SERVER_608,2020-01-09 07:05:00,2
SERVER_114,2020-08-20 18:11:00,2
SERVER_515,2020-07-02 17:12:00,2
SERVER_294,2020-06-17 16:54:00,3
SERVER_191,2020-01-22 08:47:00,2
SERVER_333,2020-06-09 20:58:00,2
SERVER_169,2020-04-05 09:32:00,2
SERVER_305,2020-05-31 08:43:00,3
SERVER_638,2020-07-05 04:28:00,1
SERVER_369,2020-02-04 13:09:00,2
SERVER_64,2020-04-06 01:24:00,2
SERVER_610,2020-09-15 14:02:00,2
SERVER_143,2020-03-10 09:05:00,2
SERVER_316,2020-09-08 14:42:00,3
SERVER_414,2020-06-26 02:58:00,3
SERVER_258,2020-06-20 22:13:00,2
SERVER_284,2020-01-16 20:41:00,2
SERVER_222,2020-07-09 06:41:00,2
SERVER_356,2020-08-06 13:52:00,3
SERVER_324,2020-05-26 05:35:00,2
SERVER_102,2020-03-31 19:13:00,2
SERVER_606,2020-06-01 02:12:00,2
SERVER_840,2020-10-05 22:55:00,2
SERVER_62,2020-03-06 13:30:00,2
SERVER_310,2020-02-27 10:39:00,2
SERVER_145,2020-11-04 20:45:00,2
SERVER_199,2020-04-21 01:43:00,2
