sn,fault_time,module_cause,module
SERVER_1310,2020-09-26 22:20:53,"module10,cod1:0x110a,cod2:0xc,addr:0x8af00000",module10
SERVER_1516,2020-10-02 11:45:54,"module8,cod1:0x91,cod2:0x101,addr:0x772c6740",module8
SERVER_1602,2020-09-14 11:54:53,"module9,cod1:0x1136,cod2:0x4,addr:0x7fba4342",module9
SERVER_1604,2020-09-14 11:58:54,"module9,cod1:0x1136,cod2:0x4,addr:0x7fba4342",module9
SERVER_1784,2020-11-02 21:43:54,"module1,cod1:0x134,cod2:0x10,addr:0x0",module1
SERVER_2253,2020-09-24 15:54:54,"module8,cod1:0x90,cod2:0x101,addr:0x2745c1c0",module8
SERVER_2866,2020-09-18 17:48:54,"module1,cod1:0x134,cod2:0x10,addr:0x5efffa6180,module1,cod1:0x134,cod2:0x10,addr:0x8b9f60500",module1
SERVER_25756,2020-10-27 10:52:54,"module0,cod1:0x5,cod2:0x3,addr:0x0",module0
SERVER_3350,2020-10-08 13:49:53,"module8,cod1:0x90,cod2:0x101,addr:0x37a92e5180",module8
SERVER_3352,2020-09-06 00:47:54,"module8,cod1:0x90,cod2:0x101,addr:0x4c9095a980",module8
SERVER_3378,2020-08-27 02:05:54,"module2,cod1:0x19,cod2:0x1,addr:0x0",module2
SERVER_3640,2020-09-27 01:27:54,"module8,cod1:0x91,cod2:0x101,addr:0x73765d6d40",module8
SERVER_3668,2020-11-11 13:35:53,"module1,cod1:0x134,cod2:0x10,addr:0x30fd815ec0",module1
SERVER_3729,2020-09-15 13:23:53,"module1,cod1:0x134,cod2:0x10,addr:0x2ba8a00a40,module7,cod1:0x90,cod2:0x101,addr:0x2ba8a00a40","module1,module7"
SERVER_4046,2020-09-22 11:42:54,"module1,cod1:0x134,cod2:0x10,addr:0xab7d28ed80,module1,cod1:0x134,cod2:0x10,addr:0xb070c04500",module1
SERVER_4046,2020-10-03 17:20:53,"module1,cod1:0x134,cod2:0x10,addr:0x803dcf8d00",module1
SERVER_4320,2020-10-11 18:45:54,"module1,cod1:0x134,cod2:0x10,addr:0x1fa5d72440,module1,cod1:0x134,cod2:0x10,addr:0x5f83c4c4c0",module1
