sn,server_model,fault_time,label,msg_text,pred
SERVER_15418,SM16,2020-03-05 15:38:00,0,"["" Unknown #0xc5 |  | Asserted"", "" Unknown #0x17 |  | Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted"", "" Microcontroller/Coprocessor #0x16 | Transition to Running | Asserted"", "" Microcontroller #0x16 | Transition to Running | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" Processor CPU_CATERR | State Deasserted | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" OS Boot #0xe9 | boot completed - device not specified | Asserted"", "" Temperature CPU1_Margin_Temp | Lower Critical going low  | Asserted | Reading 1 &lt; Threshold 1 degrees C"", "" Temperature CPU1_Margin_Temp | Lower Critical going low  | Deasserted | Reading 7 &lt; Threshold 1 degrees C"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted""]",1
SERVER_26706,SM16,2020-08-28 09:52:00,0,"["" Processor #0xfa | Configuration Error | Asserted"", "" System Event #0x10 | Timestamp Clock Sync | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" OS Boot #0xe9 | boot completed - device not specified | Asserted""]",1
SERVER_25824,SM16,2020-05-11 18:23:00,0,"["" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" Microcontroller/Coprocessor #0x16 | Transition to Running"", "" Microcontroller #0x16 | Transition to Running | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" System Event #0x10 | Timestamp Clock Sync | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" OS Boot #0xe9 | boot completed - device not specified | Asserted"", "" Unknown #0x17 |  | Asserted"", "" Unknown #0x17 |"", "" Processor CPU_CATERR | State Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted""]",1
SERVER_2159,SM19,2020-03-29 09:03:00,0,"["" Watchdog2 IPMI_Watchdog | Hard reset | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" Unknown #0x17 |  | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" Memory #0xf9 | Correctable ECC | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" Memory #0xf9 | Uncorrectable ECC | Asserted"", "" Watchdog2 IPMI_Watchdog | Timer expired | Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted"", "" Processor CPU_CATERR | State Deasserted | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted""]",0
SERVER_7154,SM19,2020-06-01 18:44:00,0,"["" Memory #0xf9 | Correctable ECC | Asserted"", "" Unknown #0xc5 |  | Asserted"", "" Unknown #0x17 |  | Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted""]",1
SERVER_26744,SM19,2020-05-30 02:17:00,0,"["" System Firmwares #0xe6 | Unrecoverable IDE device failure | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" OS Boot #0xe9 | boot completed - device not specified | Asserted"", "" Unknown #0x17 |  | Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted""]",1
SERVER_26805,SM19,2020-02-21 15:16:00,0,"["" Processor #0xfa | Configuration Error | Asserted"", "" System Event #0x10 | Timestamp Clock Sync | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" OS Boot #0xe9 | boot completed - device not specified | Asserted""]",0
SERVER_15758,SM17,2020-05-14 10:15:00,0,"["" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted"", "" Temperature CPU0_Margin_Temp | Lower Critical going low  | Asserted | Reading 0 &lt; Threshold 1 degrees C"", "" Temperature CPU0_Margin_Temp | Lower Non-critical going low  | Asserted | Reading 0 &lt; Threshold 2 degrees C"", "" Temperature CPU1_Margin_Temp | Lower Critical going low  | Asserted | Reading 0 &lt; Threshold 1 degrees C"", "" Temperature CPU1_Margin_Temp | Lower Non-critical going low  | Asserted | Reading 0 &lt; Threshold 2 degrees C"", "" Microcontroller #0x16 | Transition to Running | Asserted"", "" Processor CPU_CATERR | State Deasserted | Asserted"", "" Temperature CPU0_Margin_Temp | Lower Non-critical going low  | Deasserted | Reading 51 &lt; Threshold 2 degrees C"", "" Temperature CPU1_Margin_Temp | Lower Non-critical going low  | Deasserted | Reading 51 &lt; Threshold 2 degrees C"", "" Temperature CPU1_Margin_Temp | Lower Critical going low  | Deasserted | Reading 51 &lt; Threshold 1 degrees C"", "" Temperature CPU0_Margin_Temp | Lower Critical going low  | Deasserted | Reading 51 &lt; Threshold 1 degrees C"", "" System Event #0x10 | Timestamp Clock Sync | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted""]",1
SERVER_25799,SM22,2020-06-16 15:31:00,0,"["" Processor CPU_CATERR | State Asserted | Asserted"", "" Processor CPU_CATERR | State Deasserted | Asserted"", "" System ACPI Power State ACPI_PWR_Status | Legacy OFF state | Asserted"", "" System ACPI Power State ACPI_PWR_Status | Legacy ON state | Asserted"", "" System Event | Timestamp Clock Sync | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" Processor #0xfa | Configuration Error | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" OS Boot #0xe9 | boot completed - device not specified | Asserted"", "" OEM record c1 | 000000 | 0600c0a80101""]",0
SERVER_25784,SM22,2020-07-29 12:31:00,0,"["" Processor CPU_CATERR | State Asserted | Asserted"", "" Processor CPU_CATERR | State Deasserted | Asserted"", "" System ACPI Power State ACPI_PWR_Status | Legacy OFF state | Asserted"", "" System ACPI Power State ACPI_PWR_Status | Legacy ON state | Asserted"", "" System Event | Timestamp Clock Sync | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted"", "" OEM record c1 | 000000 | 0600c0a80101"", "" System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted"", "" OS Boot #0xe9 | boot completed - device not specified | Asserted""]",0
SERVER_25988,SM22,2020-02-16 19:35:00,0,"["" Processor CPU_CATERR | State Asserted | Asserted"", "" OEM record c1 | 000000 | 0600c0a80101""]",1
SERVER_26086,SM23,2020-07-07 04:08:00,0,"["" Unknown #0x17 |  | Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted"", "" Microcontroller #0x16 | Transition to Running | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" Processor CPU_CATERR | State Deasserted | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted""]",1
SERVER_26014,SM23,2020-03-09 22:16:00,0,"["" Unknown #0x17 |  | Asserted"", "" Processor CPU_CATERR | State Asserted | Asserted"", "" Microcontroller #0x16 | Transition to Running | Asserted"", "" Processor CPU_CATERR | State Deasserted | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted"", "" System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted"", "" System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted""]",1
