sn,fault_time,msg_feature,server_model
SERVER_25698,2020-10-09 13:43:00,"[[2, 3, 4, 99, 20, 9], [5, 6, 4, 97, 1, 0], [2, 3, 4, 96, 20, 9], [2, 3, 4, 87, 19, 9]]",1
SERVER_25699,2020-08-25 18:50:00,"[[27, 17, 4, 78, 1, 0], [38, 17, 0, 78, 1, 0], [27, 17, 0, 78, 1, 0], [40, 32, 4, 78, 1, 0], [34, 32, 4, 78, 1, 0], [44, 32, 4, 78, 1, 0], [30, 13, 4, 78, 1, 0], [38, 17, 4, 78, 1, 0], [31, 32, 4, 78, 1, 0], [19, 20, 4, 77, 1, 0], [24, 13, 4, 77, 1, 0], [10, 11, 4, 77, 1, 0], [35, 36, 4, 77, 1, 0], [30, 36, 4, 77, 1, 0], [29, 13, 4, 77, 1, 0], [25, 13, 4, 77, 1, 0], [33, 13, 4, 77, 1, 0], [28, 13, 4, 77, 1, 0], [18, 13, 4, 77, 1, 0], [12, 13, 4, 77, 1, 0], [7, 13, 4, 77, 1, 0]]",27
SERVER_25712,2020-03-16 13:20:00,"[[35, 36, 9, 78, 1, 0], [30, 36, 9, 78, 1, 0], [19, 20, 4, 64, 2, 7], [24, 13, 4, 64, 2, 7], [48, 49, 4, 64, 1, 0], [7, 13, 4, 64, 2, 7], [33, 13, 4, 64, 2, 7], [25, 13, 4, 64, 2, 7], [21, 22, 4, 64, 2, 7], [29, 13, 4, 64, 2, 7], [12, 13, 4, 64, 2, 7], [28, 13, 4, 64, 2, 7], [18, 13, 4, 64, 2, 7], [48, 49, 9, 64, 1, 0], [10, 11, 4, 64, 2, 7], [45, 32, 4, 44, 1, 0], [57, 32, 4, 44, 1, 0], [64, 32, 4, 44, 1, 0], [31, 32, 4, 44, 2, 6], [59, 32, 4, 44, 1, 0], [58, 32, 4, 44, 1, 0], [61, 32, 4, 44, 1, 0], [47, 32, 4, 44, 1, 0], [62, 32, 4, 44, 1, 0], [53, 32, 4, 44, 1, 0], [51, 32, 4, 44, 1, 0], [65, 32, 4, 44, 1, 0], [56, 32, 4, 44, 1, 0], [50, 32, 4, 44, 1, 0], [16, 17, 4, 44, 1, 0], [30, 13, 4, 44, 1, 0], [63, 32, 4, 44, 1, 0], [55, 32, 4, 44, 2, 6], [44, 32, 4, 44, 1, 0], [34, 32, 4, 44, 1, 0], [35, 13, 4, 44, 1, 0], [52, 32, 4, 44, 1, 0], [54, 32, 4, 44, 1, 0], [60, 32, 4, 44, 1, 0], [40, 32, 4, 44, 1, 0], [38, 17, 4, 44, 1, 0], [27, 17, 4, 44, 1, 0], [66, 32, 4, 44, 1, 0], [46, 32, 4, 44, 1, 0], [31, 32, 9, 37, 1, 0], [55, 32, 9, 37, 1, 0], [14, 15, 4, 37, 1, 0], [67, 15, 4, 37, 1, 0], [14, 15, 9, 37, 1, 0], [67, 15, 9, 37, 1, 0]]",38
SERVER_25708,2020-07-25 12:44:00,"[[51, 32, 9, 79, 2, 7], [66, 32, 9, 79, 1, 0], [57, 32, 9, 79, 2, 7], [64, 32, 9, 79, 1, 0], [63, 32, 9, 79, 1, 0], [61, 32, 9, 79, 1, 0], [60, 32, 9, 79, 2, 7], [16, 17, 4, 79, 5, 8], [52, 32, 4, 79, 4, 8], [27, 17, 4, 79, 5, 8], [65, 32, 4, 79, 4, 8], [55, 32, 4, 79, 6, 8], [58, 32, 4, 79, 5, 8], [62, 32, 4, 79, 4, 8], [30, 13, 4, 79, 5, 8], [66, 32, 4, 79, 4, 8], [60, 32, 4, 79, 5, 8], [34, 32, 4, 79, 7, 8], [35, 13, 4, 79, 5, 8], [45, 32, 4, 79, 4, 8], [44, 32, 4, 79, 6, 8], [46, 32, 4, 79, 8, 8], [63, 32, 4, 79, 4, 8], [59, 32, 4, 79, 7, 8], [47, 32, 4, 79, 8, 8], [56, 32, 4, 79, 4, 8], [51, 32, 4, 79, 5, 8], [53, 32, 4, 79, 6, 8], [40, 32, 4, 79, 7, 8], [57, 32, 4, 79, 5, 8], [54, 32, 4, 79, 4, 8], [61, 32, 4, 79, 4, 8], [50, 32, 4, 79, 7, 8], [31, 32, 4, 79, 6, 8], [64, 32, 4, 79, 4, 8], [38, 17, 4, 79, 5, 8], [7, 13, 4, 78, 5, 8], [28, 13, 4, 78, 5, 8], [19, 20, 4, 78, 5, 8], [25, 13, 4, 78, 5, 8], [24, 13, 4, 78, 5, 8], [12, 13, 4, 78, 5, 8], [18, 13, 4, 78, 5, 8], [29, 13, 4, 78, 5, 8], [33, 13, 4, 78, 5, 8], [43, 42, 4, 77, 1, 0], [30, 36, 4, 76, 1, 0], [48, 49, 4, 76, 1, 0], [35, 36, 4, 76, 1, 0], [48, 49, 9, 76, 1, 0]]",38
SERVER_25711,2020-03-16 16:51:00,"[[28, 13, 9, 89, 3, 8], [12, 13, 9, 89, 3, 8], [18, 13, 9, 89, 3, 8], [25, 13, 9, 89, 3, 8], [29, 13, 9, 89, 3, 8], [33, 13, 9, 89, 3, 8], [24, 13, 9, 89, 3, 8], [19, 26, 4, 89, 5, 8], [7, 13, 9, 89, 3, 8], [48, 49, 4, 88, 2, 7], [19, 20, 4, 88, 3, 9], [21, 22, 4, 88, 3, 9], [28, 13, 4, 88, 3, 9], [33, 13, 4, 88, 3, 9], [18, 13, 4, 88, 3, 9], [7, 13, 4, 88, 3, 9], [29, 13, 4, 88, 3, 9], [25, 13, 4, 88, 3, 9], [12, 13, 4, 88, 3, 9], [24, 13, 4, 88, 3, 9], [10, 11, 4, 88, 3, 9], [48, 49, 9, 88, 2, 7], [59, 32, 4, 87, 2, 7], [16, 17, 4, 87, 2, 7], [46, 32, 4, 87, 2, 7], [58, 32, 4, 87, 2, 7], [61, 32, 4, 87, 2, 7], [62, 32, 4, 87, 2, 7], [50, 32, 4, 87, 2, 7], [57, 32, 4, 87, 2, 7], [55, 32, 4, 87, 2, 7], [56, 32, 4, 87, 2, 7], [38, 17, 4, 87, 2, 7], [30, 13, 4, 87, 2, 7], [27, 17, 4, 87, 2, 7], [52, 32, 4, 87, 2, 7], [35, 13, 4, 87, 2, 7], [66, 32, 4, 87, 2, 7], [53, 32, 4, 87, 2, 7], [30, 36, 4, 85, 1, 0], [35, 36, 4, 85, 1, 0]]",38
SERVER_25709,2020-08-17 19:50:00,"[[21, 22, 4, 89, 2, 8], [7, 13, 9, 89, 2, 8], [28, 13, 9, 89, 2, 8], [19, 26, 4, 89, 2, 8], [29, 13, 9, 89, 2, 8], [18, 13, 9, 89, 2, 8], [33, 13, 9, 89, 2, 8], [24, 13, 9, 89, 2, 8], [68, 69, 9, 89, 2, 8], [25, 13, 9, 89, 2, 8], [12, 13, 9, 89, 2, 8], [31, 32, 9, 88, 1, 0], [34, 32, 9, 88, 1, 0], [44, 32, 9, 88, 1, 0], [44, 32, 4, 88, 2, 9], [34, 32, 4, 88, 2, 9], [31, 32, 4, 88, 2, 9], [68, 69, 4, 82, 2, 8], [19, 20, 4, 82, 2, 8], [12, 13, 4, 82, 2, 8], [24, 13, 4, 82, 2, 8], [25, 13, 4, 82, 2, 8], [18, 13, 4, 82, 2, 8], [28, 13, 4, 82, 2, 8], [7, 13, 4, 82, 2, 8], [29, 13, 4, 82, 2, 8], [33, 13, 4, 82, 2, 8], [10, 11, 4, 82, 3, 8], [35, 36, 4, 82, 1, 0], [43, 42, 4, 82, 1, 0], [30, 36, 4, 82, 1, 0], [16, 17, 4, 56, 1, 0], [27, 17, 4, 56, 1, 0], [30, 13, 4, 56, 1, 0], [38, 17, 4, 56, 1, 0], [35, 13, 4, 56, 1, 0], [63, 32, 4, 56, 1, 0], [64, 32, 4, 56, 1, 0], [51, 32, 4, 56, 1, 0], [45, 32, 4, 56, 1, 0], [65, 32, 4, 56, 1, 0], [47, 32, 4, 56, 1, 0], [54, 32, 4, 56, 1, 0], [40, 32, 4, 56, 1, 0], [60, 32, 4, 56, 1, 0]]",38
SERVER_15,2020-09-11 09:39:00,"[[19, 26, 4, 62, 1, 0], [29, 13, 9, 62, 1, 0], [12, 13, 9, 62, 1, 0], [25, 13, 9, 62, 1, 0], [35, 8, 9, 62, 1, 0], [7, 13, 9, 62, 1, 0], [18, 13, 9, 62, 1, 0], [30, 8, 9, 62, 1, 0], [33, 23, 9, 62, 1, 0], [24, 13, 9, 62, 1, 0], [28, 13, 9, 62, 1, 0], [33, 13, 9, 62, 1, 0], [35, 36, 9, 62, 1, 0], [30, 36, 9, 62, 1, 0], [28, 13, 4, 62, 1, 0], [18, 13, 4, 62, 1, 0], [12, 13, 4, 62, 1, 0], [7, 13, 4, 62, 1, 0], [24, 13, 4, 62, 1, 0], [33, 13, 4, 62, 1, 0], [25, 13, 4, 62, 1, 0], [29, 13, 4, 62, 1, 0], [19, 20, 4, 62, 1, 0], [10, 11, 4, 62, 1, 0]]",38
SERVER_25707,2020-03-16 14:00:00,"[[33, 13, 9, 83, 3, 8], [25, 13, 9, 83, 3, 8], [24, 13, 9, 83, 3, 8], [29, 13, 9, 83, 3, 8], [7, 13, 9, 83, 3, 8], [18, 13, 9, 83, 3, 8], [19, 26, 4, 83, 5, 8], [28, 13, 9, 83, 3, 8], [12, 13, 9, 83, 3, 8], [21, 22, 4, 77, 2, 7], [48, 49, 4, 77, 1, 0], [19, 20, 4, 77, 2, 7], [18, 13, 4, 77, 2, 7], [7, 13, 4, 77, 2, 7], [29, 13, 4, 77, 2, 7], [28, 13, 4, 77, 2, 7], [25, 13, 4, 77, 2, 7], [33, 13, 4, 77, 2, 7], [24, 13, 4, 77, 2, 7], [12, 13, 4, 77, 2, 7], [10, 11, 4, 77, 2, 7], [48, 49, 9, 77, 1, 0], [30, 36, 4, 70, 1, 0], [35, 36, 4, 70, 1, 0], [50, 32, 4, 70, 2, 7], [38, 17, 4, 70, 2, 7], [66, 32, 4, 70, 2, 7], [30, 13, 4, 70, 2, 7], [55, 32, 4, 70, 2, 7], [35, 13, 4, 70, 2, 7], [52, 32, 4, 70, 2, 7], [58, 32, 4, 70, 2, 7], [16, 17, 4, 70, 2, 7], [46, 32, 4, 70, 2, 7], [27, 17, 4, 70, 2, 7], [61, 32, 4, 70, 2, 7], [59, 32, 4, 70, 2, 7], [53, 32, 4, 70, 2, 7], [57, 32, 4, 70, 2, 7], [56, 32, 4, 70, 2, 7], [62, 32, 4, 70, 2, 7]]",38
SERVER_443,2020-09-11 05:50:00,"[[91, 8, 4, 62, 1, 0], [114, 8, 4, 62, 1, 0], [110, 26, 4, 61, 1, 0], [104, 13, 9, 61, 1, 0], [83, 13, 9, 61, 1, 0], [85, 13, 9, 61, 1, 0], [91, 8, 9, 61, 1, 0], [98, 13, 9, 61, 1, 0], [115, 13, 9, 61, 1, 0], [107, 13, 9, 61, 1, 0], [100, 13, 9, 61, 1, 0], [94, 13, 9, 61, 1, 0], [77, 13, 9, 61, 1, 0], [74, 13, 9, 61, 1, 0], [80, 13, 9, 61, 1, 0], [73, 13, 9, 61, 1, 0], [87, 13, 9, 61, 1, 0], [111, 13, 9, 61, 1, 0], [113, 13, 9, 61, 1, 0], [114, 8, 9, 61, 1, 0], [88, 13, 9, 61, 1, 0], [110, 20, 4, 61, 1, 0], [79, 11, 4, 61, 1, 0], [77, 13, 4, 61, 1, 0], [83, 13, 4, 61, 1, 0], [94, 13, 4, 61, 1, 0], [100, 13, 4, 61, 1, 0], [85, 13, 4, 61, 1, 0], [104, 13, 4, 61, 1, 0], [115, 13, 4, 61, 1, 0], [73, 13, 4, 61, 1, 0], [80, 13, 4, 61, 1, 0], [113, 13, 4, 61, 1, 0], [74, 13, 4, 61, 1, 0], [87, 13, 4, 61, 1, 0], [88, 13, 4, 61, 1, 0], [111, 13, 4, 61, 1, 0], [107, 13, 4, 61, 1, 0], [98, 13, 4, 61, 1, 0]]",55
SERVER_422,2020-11-04 15:11:00,"[[79, 11, 4, 100, 1, 0], [107, 8, 4, 100, 1, 0]]",55
SERVER_25736,2020-04-23 16:18:00,"[[233, 241, 4, 65, 1, 0], [233, 20, 4, 65, 1, 0], [234, 235, 4, 64, 1, 0], [234, 242, 4, 64, 1, 0], [236, 3, 0, 60, 1, 0], [236, 3, 4, 60, 1, 0]]",12
SERVER_1596,2020-04-15 22:47:00,"[[250, 23, 4, 100, 22, 9], [250, 23, 4, 100, 22, 9], [250, 23, 4, 99, 22, 9], [250, 23, 4, 94, 22, 9], [250, 95, 4, 89, 2, 7], [259, 132, 4, 89, 2, 7], [236, 3, 4, 89, 2, 7], [233, 26, 4, 67, 1, 0], [236, 261, 4, 67, 1, 0], [265, 255, 4, 67, 1, 0]]",13
SERVER_25721,2020-05-28 13:38:00,"[[265, 266, 4, 87, 1, 0], [259, 132, 4, 87, 1, 0], [214, 13, 4, 87, 1, 0], [207, 13, 4, 87, 1, 0], [240, 131, 4, 87, 1, 0], [238, 131, 4, 87, 1, 0], [233, 20, 4, 87, 2, 5], [233, 26, 4, 87, 1, 0], [254, 255, 4, 87, 1, 0], [265, 255, 4, 87, 1, 0], [257, 258, 4, 86, 2, 1], [2, 242, 4, 86, 1, 0], [251, 252, 4, 86, 2, 8], [2, 243, 4, 80, 1, 0]]",13
