sn,fault_time,venus_feature
SERVER_25698,2020-10-09 13:43:00,"[[0, 0, 0, 0]]"
SERVER_25699,2020-08-25 18:50:00,"[[0, 0, 0, 0]]"
SERVER_25712,2020-03-16 13:20:00,"[[0, 0, 0, 0]]"
SERVER_25708,2020-07-25 12:44:00,"[[0, 0, 0, 0]]"
SERVER_25711,2020-03-16 16:51:00,"[[0, 0, 0, 0]]"
SERVER_25709,2020-08-17 19:50:00,"[[0, 0, 0, 0]]"
SERVER_15,2020-09-11 09:39:00,"[[0, 0, 0, 0]]"
SERVER_25707,2020-03-16 14:00:00,"[[0, 0, 0, 0]]"
SERVER_443,2020-09-11 05:50:00,"[[0, 0, 0, 0]]"
SERVER_422,2020-11-04 15:11:00,"[[0, 0, 0, 0]]"
SERVER_25736,2020-04-23 16:18:00,"[[0, 0, 0, 0]]"
SERVER_1596,2020-04-15 22:47:00,"[[0, 0, 0, 0]]"
SERVER_25721,2020-05-28 13:38:00,"[[0, 0, 0, 0]]"
SERVER_1730,2020-02-18 14:18:00,"[[0, 0, 0, 0]]"
SERVER_15952,2020-07-26 15:40:00,"[[0, 0, 0, 0]]"
SERVER_2887,2020-03-11 14:22:00,"[[0, 0, 0, 0]]"
SERVER_1784,2020-11-02 21:31:00,"[[2, 3, 4, 5]]"
SERVER_2904,2020-09-23 17:46:00,"[[0, 0, 0, 0]]"
SERVER_26690,2020-05-28 23:31:00,"[[0, 0, 0, 0]]"
SERVER_25766,2020-05-08 06:11:00,"[[0, 0, 0, 0]]"
SERVER_1876,2020-02-05 20:49:00,"[[0, 0, 0, 0]]"
SERVER_2492,2020-11-14 01:25:00,"[[0, 0, 0, 0]]"
SERVER_14900,2020-09-24 19:45:00,"[[0, 0, 0, 0]]"
SERVER_1746,2020-02-01 16:48:00,"[[0, 0, 0, 0]]"
SERVER_25733,2020-05-22 17:13:00,"[[0, 0, 0, 0]]"
SERVER_14954,2020-09-20 20:25:00,"[[0, 0, 0, 0]]"
SERVER_26703,2020-09-13 13:20:00,"[[0, 0, 0, 0]]"
SERVER_26724,2020-10-20 03:24:00,"[[0, 0, 0, 0]]"
SERVER_15100,2020-09-02 19:42:00,"[[2, 3, 4, 6]]"
SERVER_3651,2020-01-19 21:47:00,"[[0, 0, 0, 0]]"
SERVER_14603,2020-01-29 07:42:00,"[[0, 0, 0, 0]]"
SERVER_25734,2020-10-03 11:57:00,"[[0, 0, 0, 0]]"
SERVER_14334,2020-06-16 13:38:00,"[[0, 0, 0, 0]]"
SERVER_17432,2020-08-17 12:18:00,"[[0, 0, 0, 0]]"
SERVER_25745,2020-05-24 03:57:00,"[[0, 0, 0, 0]]"
SERVER_2467,2020-05-01 06:11:00,"[[0, 0, 0, 0]]"
SERVER_1767,2020-01-30 18:18:00,"[[0, 0, 0, 0]]"
